[2026-04-28 14:20:45] INFO     | trading.main           | ============================================================
[2026-04-28 14:20:45] INFO     | trading.main           |   TRADING FRAMEWORK – STARTING
[2026-04-28 14:20:45] INFO     | trading.main           | ============================================================
[2026-04-28 14:20:45] INFO     | trading.db             | Database ready at C:\Users\USER\Desktop\trading-system-architecture\data\trading.db
[2026-04-28 14:20:45] INFO     | trading.broker         | Connecting to IBKR 127.0.0.1:4002 (attempt 1/3)
[2026-04-28 14:20:45] INFO     | ib_insync.client       | Connecting to 127.0.0.1:4002 with clientId 8935...
[2026-04-28 14:20:45] INFO     | ib_insync.client       | Connected
[2026-04-28 14:20:45] INFO     | ib_insync.client       | Logged on to server version 176
[2026-04-28 14:20:45] ERROR    | ib_insync.wrapper      | Error 326, reqId -1: Unable to connect as the client id is already in use. Retry with a unique client id.
[2026-04-28 14:20:46] ERROR    | ib_insync.client       | Peer closed connection. clientId 8935 already in use?
[2026-04-28 14:21:00] INFO     | ib_insync.client       | Disconnecting
[2026-04-28 14:21:00] ERROR    | ib_insync.client       | API connection failed: TimeoutError()
[2026-04-28 14:21:00] WARNING  | trading.broker         | Connection attempt 1 failed: 
[2026-04-28 14:21:05] INFO     | trading.broker         | Connecting to IBKR 127.0.0.1:4002 (attempt 2/3)
[2026-04-28 14:21:05] INFO     | ib_insync.client       | Connecting to 127.0.0.1:4002 with clientId 8935...
[2026-04-28 14:21:05] INFO     | ib_insync.client       | Connected
[2026-04-28 14:21:05] INFO     | ib_insync.client       | Logged on to server version 176
[2026-04-28 14:21:05] ERROR    | ib_insync.wrapper      | Error 326, reqId -1: Unable to connect as the client id is already in use. Retry with a unique client id.
[2026-04-28 14:21:06] ERROR    | ib_insync.client       | Peer closed connection. clientId 8935 already in use?
[2026-04-28 14:21:21] INFO     | ib_insync.client       | Disconnecting
[2026-04-28 14:21:21] ERROR    | ib_insync.client       | API connection failed: TimeoutError()
[2026-04-28 14:21:21] WARNING  | trading.broker         | Connection attempt 2 failed: 
[2026-04-28 14:21:26] INFO     | trading.broker         | Connecting to IBKR 127.0.0.1:4002 (attempt 3/3)
[2026-04-28 14:21:26] INFO     | ib_insync.client       | Connecting to 127.0.0.1:4002 with clientId 8935...
[2026-04-28 14:21:26] INFO     | ib_insync.client       | Connected
[2026-04-28 14:21:26] INFO     | ib_insync.client       | Logged on to server version 176
[2026-04-28 14:21:26] ERROR    | ib_insync.wrapper      | Error 326, reqId -1: Unable to connect as the client id is already in use. Retry with a unique client id.
[2026-04-28 14:21:26] ERROR    | ib_insync.client       | Peer closed connection. clientId 8935 already in use?
[2026-04-28 14:21:41] INFO     | ib_insync.client       | Disconnecting
[2026-04-28 14:21:41] ERROR    | ib_insync.client       | API connection failed: TimeoutError()
[2026-04-28 14:21:41] WARNING  | trading.broker         | Connection attempt 3 failed: 
